"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.538621238838243,5.38621238838243,10,0.166674488717373,0.628575917965217,0.446421957929067,"control"
"2","Answer.DW_strength",1,0.575991745727089,12.671818405996,22,0.186715379374233,0.653992451156216,0.50180615182997,"partner"
"3","Answer.DW_strength",2,0.554406606792898,8.87050570868636,16,0.244444359719368,0.659778104646296,0.448594199899958,"opponent"
"4","Answer.expectation_of_winning",0,0.743649876286872,7.43649876286872,10,0.155148313984756,0.837603359024565,0.657142894887406,"control"
"5","Answer.expectation_of_winning",1,0.670448499439732,14.7498669876741,22,0.223920316189954,0.763126029496683,0.575385948569119,"partner"
"6","Answer.expectation_of_winning",2,0.769005170687991,12.3040827310079,16,0.184408578800535,0.853715506137503,0.67918835794627,"opponent"
"7","Answer.strength_of_average_player",0,0.6355715875526,6.355715875526,10,0.0920071098340734,0.686361775809604,0.578067747931086,"control"
"8","Answer.strength_of_average_player",1,0.640614656342362,14.093522439532,22,0.206268888729054,0.720692134688084,0.548779399701901,"partner"
"9","Answer.strength_of_average_player",2,0.694342242155009,11.1094758744802,16,0.109013282323563,0.740027302490206,0.644226191975804,"opponent"
"10","Answer.role_of_luck_in_game",0,0.464675199144094,4.64675199144094,10,0.20436775318981,0.587302880068801,0.340965350520393,"control"
"11","Answer.role_of_luck_in_game",1,0.337671053064284,7.42876316741426,22,0.249895879730421,0.434227672010678,0.238058519265473,"partner"
"12","Answer.role_of_luck_in_game",2,0.430128783039043,6.88206052862469,16,0.288004442669722,0.564580490892323,0.289167373652443,"opponent"
