4.769401472785975704e-01,5.109162954494822495e-01
5.024831943814642710e-01,5.357013768593315017e-01
5.065769723041448902e-01,5.416834892386105382e-01
5.207622949543874169e-01,5.550014894441701596e-01
5.157923584312665843e-01,5.498101831940003237e-01
5.123699760739691689e-01,5.478069477556273270e-01
4.810934328846633301e-01,5.166519634879659373e-01
4.861265307306312233e-01,5.223577851031441233e-01
4.789023515942972264e-01,5.149751286341343048e-01
6.610000000000000320e-01,7.189999999999999725e-01
6.460000000000000187e-01,7.039999999999999591e-01
6.480000000000000204e-01,7.049999999999999600e-01
