5.574912884053774276e-01,5.907011881114448970e-01
4.203091994703281875e-01,4.544829690977931214e-01
4.809484398947097561e-01,5.150540414031129499e-01
5.053393107361625614e-01,5.399701453722082212e-01
5.212194609504658960e-01,5.565219783128705355e-01
5.161810845790896218e-01,5.500826130611822240e-01
4.776865190248936188e-01,5.139370626874734116e-01
4.723095635485369814e-01,5.080797840200830251e-01
4.939226049459539136e-01,5.304964970566797833e-01
6.780000000000000471e-01,7.339999999999999858e-01
6.590000000000000302e-01,7.159999999999999698e-01
6.919999999999999485e-01,7.479999999999999982e-01
